Distance,Roi,Data_length,Mean_ICC
covariance,900,40min,0.829899527862289
correlation,900,40min,0.8299625417654284
cosine,900,40min,0.8299605908186152
sqeuclidean,900,40min,0.8303462467529446
minkowski,900,40min,0.8331279587358394
euclidean,900,40min,0.8331289530671698
partial_correlation,900,40min,0.4343554827245781
tangent,900,40min,0.3423914881327045
covariance,900,45min,0.8413368252663218
correlation,900,45min,0.8500498683106592
cosine,900,45min,0.8500576877686393
sqeuclidean,900,45min,0.8485844149105641
minkowski,900,45min,0.8512184973907471
euclidean,900,45min,0.8512214420240578
partial_correlation,900,45min,0.4289704828995591
tangent,900,45min,0.35103591033607473
covariance,900,50min,0.8608785626028312
correlation,900,50min,0.8610362563254704
cosine,900,50min,0.8610404627931013
sqeuclidean,900,50min,0.8611651060881965
minkowski,900,50min,0.8636109193161651
euclidean,900,50min,0.8636140609784495
partial_correlation,900,50min,0.41913062504277815
tangent,900,50min,0.35526606783496517
covariance,1000,5min,0.40537513867202374
correlation,1000,5min,0.4927744150070761
cosine,1000,5min,0.4928998590858889
sqeuclidean,1000,5min,0.4881650046584889
minkowski,1000,5min,0.4994621383113423
euclidean,1000,5min,0.49947423166025023
partial_correlation,1000,5min,0.38771974499655565
tangent,1000,5min,0.32369918487614585
